generador;hora;vertimiento_mw
SOLAR-NORTE-01;640;1430.3870967741937
SOLAR-NORTE-01;641;1409.0967741935483
SOLAR-NORTE-01;642;1372.3225806451612
SOLAR-NORTE-01;643;1216.0
SOLAR-NORTE-01;644;673.9354838709678
SOLAR-NORTE-01;656;117.16129032258064
SOLAR-NORTE-01;657;778.1935483870968
SOLAR-NORTE-01;658;1177.516129032258
SOLAR-NORTE-01;659;1298.2903225806451
SOLAR-NORTE-01;660;1384.0
SOLAR-NORTE-01;661;1437.1290322580646
SOLAR-NORTE-01;662;1435.774193548387
SOLAR-NORTE-01;663;1411.1612903225807
SOLAR-NORTE-01;664;1430.3870967741937
SOLAR-NORTE-01;665;1409.0967741935483
SOLAR-NORTE-01;666;1372.3225806451612
SOLAR-NORTE-01;667;1216.0
SOLAR-NORTE-01;668;673.9354838709678
SOLAR-NORTE-01;669;13.612903225806456
SOLAR-NORTE-01;680;117.16129032258064
SOLAR-NORTE-01;681;778.1935483870968
SOLAR-NORTE-01;682;1177.516129032258
SOLAR-NORTE-01;683;1298.2903225806451
SOLAR-NORTE-01;684;1384.0
SOLAR-NORTE-01;685;1437.1290322580646
SOLAR-NORTE-01;686;1435.774193548387
SOLAR-NORTE-01;687;1411.1612903225807
SOLAR-NORTE-01;688;1430.3870967741937
SOLAR-NORTE-01;689;1409.0967741935483
SOLAR-NORTE-01;690;1372.3225806451612
SOLAR-NORTE-01;691;1216.0
SOLAR-NORTE-01;692;673.9354838709678
SOLAR-NORTE-01;704;117.16129032258064
SOLAR-NORTE-01;705;778.1935483870968
SOLAR-NORTE-01;706;1177.516129032258
SOLAR-NORTE-01;707;1298.2903225806451
SOLAR-NORTE-01;708;1384.0
SOLAR-NORTE-01;709;1437.1290322580646
SOLAR-NORTE-01;710;1435.774193548387
SOLAR-NORTE-01;711;1411.1612903225807
SOLAR-NORTE-01;712;1430.3870967741937
SOLAR-NORTE-01;713;1409.0967741935483
SOLAR-NORTE-01;714;1372.3225806451612
SOLAR-NORTE-01;715;1216.0
SOLAR-NORTE-01;716;673.9354838709678
SOLAR-NORTE-01;717;13.612903225806456
SOLAR-NORTE-01;728;117.16129032258064
SOLAR-NORTE-01;729;778.1935483870968
SOLAR-NORTE-01;730;1177.516129032258
SOLAR-NORTE-01;731;1298.2903225806451
SOLAR-NORTE-01;732;1384.0
SOLAR-NORTE-01;733;1437.1290322580646
SOLAR-NORTE-01;734;1435.774193548387
SOLAR-NORTE-01;735;1411.1612903225807
SOLAR-NORTE-01;736;1430.3870967741937
SOLAR-NORTE-01;737;1409.0967741935483
SOLAR-NORTE-01;738;1372.3225806451612
SOLAR-NORTE-01;739;1216.0
SOLAR-NORTE-01;740;673.9354838709678
SOLAR-NORTE-01;741;13.612903225806456
SOLAR-NORTE-01;752;6.142857142857139
SOLAR-NORTE-01;753;472.8928571428571
SOLAR-NORTE-01;754;879.9642857142857
SOLAR-NORTE-01;755;1145.5
SOLAR-NORTE-01;756;1255.25
SOLAR-NORTE-01;757;1283.357142857143
SOLAR-NORTE-01;758;1296.9642857142858
SOLAR-NORTE-01;759;1299.107142857143
SOLAR-NORTE-01;760;1299.107142857143
SOLAR-NORTE-01;761;1289.7142857142858
SOLAR-NORTE-01;762;1219.142857142857
SOLAR-NORTE-01;763;1056.75
SOLAR-NORTE-01;764;451.7142857142857
SOLAR-NORTE-01;776;6.142857142857139
SOLAR-NORTE-01;777;472.8928571428571
SOLAR-NORTE-01;778;879.9642857142857
SOLAR-NORTE-01;779;1145.5
SOLAR-NORTE-01;780;1255.25
SOLAR-NORTE-01;781;1283.357142857143
SOLAR-NORTE-01;782;1296.9642857142858
SOLAR-NORTE-01;783;1299.107142857143
SOLAR-NORTE-01;784;1299.107142857143
SOLAR-NORTE-01;785;1289.7142857142858
SOLAR-NORTE-01;786;1219.142857142857
SOLAR-NORTE-01;787;1056.75
SOLAR-NORTE-01;788;451.7142857142857
SOLAR-NORTE-01;800;6.142857142857139
SOLAR-NORTE-01;801;472.8928571428571
SOLAR-NORTE-01;802;879.9642857142857
SOLAR-NORTE-01;803;1145.5
SOLAR-NORTE-01;804;1255.25
SOLAR-NORTE-01;805;1283.357142857143
SOLAR-NORTE-01;806;1296.9642857142858
SOLAR-NORTE-01;807;1299.107142857143
SOLAR-NORTE-01;808;1299.107142857143
SOLAR-NORTE-01;809;1289.7142857142858
SOLAR-NORTE-01;810;1219.142857142857
SOLAR-NORTE-01;811;1056.75
SOLAR-NORTE-01;812;451.7142857142857
SOLAR-NORTE-01;825;472.8928571428571
SOLAR-NORTE-01;826;879.9642857142857
SOLAR-NORTE-01;827;1145.5
SOLAR-NORTE-01;828;1255.25
SOLAR-NORTE-01;829;1283.357142857143
SOLAR-NORTE-01;830;1296.9642857142858
SOLAR-NORTE-01;831;1299.107142857143
SOLAR-NORTE-01;832;1299.107142857143
SOLAR-NORTE-01;833;1289.7142857142858
SOLAR-NORTE-01;834;1219.142857142857
SOLAR-NORTE-01;835;1056.75
SOLAR-NORTE-01;836;451.7142857142857
SOLAR-NORTE-01;848;6.142857142857139
SOLAR-NORTE-01;849;472.8928571428571
SOLAR-NORTE-01;850;879.9642857142857
SOLAR-NORTE-01;851;1145.5
SOLAR-NORTE-01;852;1255.25
SOLAR-NORTE-01;853;1283.357142857143
SOLAR-NORTE-01;854;1296.9642857142858
SOLAR-NORTE-01;855;1299.107142857143
SOLAR-NORTE-01;856;1299.107142857143
SOLAR-NORTE-01;857;1289.7142857142858
SOLAR-NORTE-01;858;1219.142857142857
SOLAR-NORTE-01;859;1056.75
